trait,Narrow Sense H,Ridge,Lasso,ElasticNet,RandomForest,MLP
G2H3B,0.652833,0.506 ± 0.067,0.501 ± 0.055,0.462 ± 0.069,0.492 ± 0.080,0.406 ± 0.114
G2H4P,0.516676,0.409 ± 0.055,0.373 ± 0.043,0.369 ± 0.052,0.388 ± 0.096,0.173 ± 0.183
G2P,0.699526,0.377 ± 0.084,0.377 ± 0.084,0.382 ± 0.072,0.437 ± 0.077,0.258 ± 0.101
G3B,0.730095,0.315 ± 0.062,0.245 ± 0.052,0.274 ± 0.051,0.305 ± 0.067,0.082 ± 0.158
G3HP,0.752711,0.364 ± 0.115,0.509 ± 0.086,0.443 ± 0.059,0.530 ± 0.084,0.415 ± 0.130
G4MSB,0.704764,0.460 ± 0.151,0.449 ± 0.138,0.439 ± 0.121,0.480 ± 0.120,0.425 ± 0.220
G4P,0.541072,0.239 ± 0.056,0.229 ± 0.097,0.235 ± 0.040,0.204 ± 0.092,0.038 ± 0.149
G5MSP,0.506192,0.257 ± 0.276,0.271 ± 0.219,0.261 ± 0.124,0.306 ± 0.232,0.182 ± 0.360
Cd111,0.63388,0.049 ± 0.045,0.256 ± 0.033,0.238 ± 0.032,0.280 ± 0.043,0.021 ± 0.089
Mo98,0.794765,0.132 ± 0.072,0.107 ± 0.050,0.239 ± 0.052,0.336 ± 0.066,-0.065 ± 0.048
FLC,0.707579,0.339 ± 0.136,0.177 ± 0.157,0.231 ± 0.164,0.237 ± 0.163,-0.097 ± 0.067
FRI,0.481223,0.068 ± 0.150,0.158 ± 0.096,0.180 ± 0.089,0.217 ± 0.163,0.180 ± 0.134
M130T666,0.750644,0.119 ± 0.129,0.583 ± 0.127,0.561 ± 0.118,0.610 ± 0.129,0.254 ± 0.174
FT10,0.763738,0.672 ± 0.025,0.655 ± 0.027,0.653 ± 0.023,0.631 ± 0.027,0.620 ± 0.034
0W,0.561991,0.530 ± 0.076,0.434 ± 0.087,0.430 ± 0.095,0.419 ± 0.072,0.450 ± 0.119
8W_GH_FT,0.763346,0.486 ± 0.112,0.409 ± 0.118,0.394 ± 0.109,0.376 ± 0.105,0.319 ± 0.149
FT22,0.572371,0.393 ± 0.352,0.273 ± 0.387,0.286 ± 0.322,0.214 ± 0.480,0.309 ± 0.272
FT_Field,0.561217,0.527 ± 0.124,0.462 ± 0.164,0.464 ± 0.108,0.409 ± 0.137,0.050 ± 0.149
SDV,0.596476,0.412 ± 0.100,0.286 ± 0.139,0.315 ± 0.083,0.285 ± 0.117,0.080 ± 0.121
CL,0.79537,0.468 ± 0.040,0.371 ± 0.042,0.403 ± 0.040,0.410 ± 0.031,0.248 ± 0.067
RL,0.775845,0.536 ± 0.061,0.502 ± 0.062,0.516 ± 0.050,0.473 ± 0.055,0.419 ± 0.076
GR21,0.641262,0.559 ± 0.068,0.531 ± 0.084,0.506 ± 0.091,0.550 ± 0.058,0.545 ± 0.093
8W_GH_LN,0.63608,0.470 ± 0.125,0.303 ± 0.132,0.280 ± 0.139,0.243 ± 0.156,-0.136 ± 0.192
LN10,0.760785,0.485 ± 0.122,0.482 ± 0.140,0.396 ± 0.115,0.358 ± 0.114,0.092 ± 0.122
LN16,0.570229,0.527 ± 0.140,0.455 ± 0.183,0.444 ± 0.125,0.385 ± 0.165,-0.080 ± 0.133
Storage_28_days,0.565495,0.351 ± 0.124,0.445 ± 0.132,0.295 ± 0.105,0.331 ± 0.103,0.331 ± 0.142
Storage_56_days,0.58283,0.291 ± 0.132,0.267 ± 0.124,0.215 ± 0.099,0.241 ± 0.110,0.156 ± 0.133
Width_10,0.651147,0.095 ± 0.147,0.218 ± 0.105,0.098 ± 0.120,0.013 ± 0.152,0.043 ± 0.105
MeanTRL_C,0.749708,0.200 ± 0.094,0.092 ± 0.175,0.143 ± 0.063,0.184 ± 0.058,0.068 ± 0.144
MeanTRL_CK,0.567499,0.260 ± 0.076,0.244 ± 0.076,0.190 ± 0.068,0.156 ± 0.063,0.020 ± 0.139
DTFmainEffect2009,0.568816,0.591 ± 0.046,0.623 ± 0.054,0.578 ± 0.041,0.511 ± 0.046,0.530 ± 0.053
YieldMainEffect2009,0.708032,0.226 ± 0.083,0.156 ± 0.072,0.193 ± 0.069,0.187 ± 0.062,0.098 ± 0.099
FruitNumber,0.812116,0.295 ± 0.077,0.268 ± 0.080,0.251 ± 0.050,0.274 ± 0.063,0.052 ± 0.143
GrowthRate,0.767698,0.376 ± 0.112,0.329 ± 0.061,0.323 ± 0.079,0.298 ± 0.088,0.169 ± 0.120
root_length_day003,0.817592,0.209 ± 0.098,0.027 ± 0.111,0.132 ± 0.083,0.182 ± 0.091,-0.053 ± 0.238
Trichome_stem_length,0.624197,0.269 ± 0.133,0.198 ± 0.110,0.201 ± 0.090,0.260 ± 0.099,-0.001 ± 0.132
